15.4;0.235;0.62;3.8;0.360731072657;136.79;0.8658;4.5723;0.51;7.6558;8.91;9
5.4;0.139;0.66;1.9;0.582447665897;59.92;0.3870;3.1856;2.11;6.7527;9.33;5
12.5;0.839;0.31;2.1;0.863136714869;37.89;0.2214;3.3417;2.72;4.3099;8.45;10
13.5;0.974;0.21;7.3;0.938966446679;32.02;0.2654;2.9085;3.09;2.4649;11.64;2
15.3;0.432;0.68;5.1;0.756025804080;67.29;0.3846;2.6867;2.65;8.5507;8.32;10
6.8;0.860;0.98;3.7;0.811878021854;176.55;0.0355;4.8307;1.04;2.5478;8.07;3
10.4;0.182;0.25;2.2;0.713311858652;44.40;0.1833;4.5229;4.90;4.6431;8.08;6
9.8;0.135;0.98;9.4;0.759712676692;145.82;0.3102;4.2315;1.35;2.7177;11.42;11
13.7;0.430;0.08;7.8;0.930693296779;176.02;0.7393;3.1432;3.60;7.9787;11.14;11
12.2;0.480;0.32;9.9;0.447932108645;66.18;0.9508;3.8239;4.13;5.7985;9.34;9
7.5;0.749;0.40;9.1;0.676490804274;18.72;0.0642;2.2325;1.05;9.9562;9.19;11
8.4;0.949;0.57;9.9;0.950584485914;185.56;0.3007;2.7736;2.34;4.2262;10.67;1
6.9;0.426;0.72;6.0;0.549434389361;47.72;0.0341;4.3994;1.69;8.0863;8.56;3
6.4;0.783;0.34;8.6;0.035348836569;107.33;0.9995;3.2708;0.40;8.4509;8.66;10
14.9;0.997;0.93;8.0;0.899457431909;67.62;0.4830;3.2372;3.26;5.2298;10.14;11
8.6;0.585;0.23;6.1;0.531470195552;142.72;0.5287;3.7129;3.78;9.8915;10.42;9
11.3;0.840;0.89;7.0;0.521576142851;30.36;0.4774;4.0895;0.71;5.2791;8.12;5
5.7;0.679;0.94;1.3;0.349314645803;26.22;0.7001;3.8923;1.18;4.9163;10.18;7
11.7;0.494;0.40;9.0;0.890416190262;132.90;0.2457;2.0761;0.30;3.7045;9.04;4
7.3;0.514;0.04;1.4;0.311592496730;135.89;0.8902;2.8110;0.82;1.1318;9.92;7
15.3;0.502;0.62;5.1;0.212925178844;75.14;0.2271;3.2040;4.45;3.9220;8.58;8
8.3;0.046;0.14;6.4;0.084822854679;118.05;0.4313;4.3131;0.20;9.8436;8.08;5
7.6;0.252;0.23;6.2;0.526322847505;3.49;0.5192;4.4769;3.97;2.7435;11.24;7
7.3;0.586;0.75;5.5;0.642580462091;119.24;0.5453;4.2155;2.36;8.9622;11.28;3
11.8;0.483;0.89;7.4;0.666919110672;19.39;0.3944;3.7416;2.54;6.9191;11.00;7
10.3;0.633;0.67;4.5;0.387117823106;37.35;0.1605;3.8410;4.59;2.4008;11.25;6
7.4;0.646;0.07;7.3;0.380689949790;192.64;0.1379;3.8459;4.54;3.5585;11.00;1
13.1;0.416;0.06;4.7;0.438642153820;104.17;0.6726;4.0889;0.26;5.2028;9.05;6
6.8;0.599;0.57;1.2;0.295864328551;119.45;0.3254;3.4186;4.55;1.0241;9.58;4
12.5;0.538;0.54;2.7;0.970629721884;55.87;0.6597;4.7693;4.81;4.2911;11.71;4
14.9;0.873;0.02;9.0;0.107785222210;100.94;0.9632;2.2228;4.94;5.0737;9.75;8
12.8;0.391;0.89;4.6;0.248673885149;103.93;0.1003;3.2469;4.10;9.3576;11.77;10
10.9;0.871;0.66;4.8;0.778705239833;114.45;0.7210;2.8517;2.20;2.4415;8.48;11
14.9;0.376;0.77;6.1;0.493870517263;127.73;0.1610;2.1172;1.14;8.1091;10.08;11
12.4;0.103;0.72;1.1;0.420390590554;145.94;0.6383;2.1510;3.79;6.0529;11.40;10
15.2;0.360;0.10;2.5;0.778024191372;7.49;0.8988;3.1864;0.65;3.3494;8.97;11
5.6;0.559;0.18;1.8;0.471988232714;97.68;0.3117;4.2329;1.11;7.6497;8.27;8
12.0;0.404;0.39;5.4;0.117637041069;148.07;0.9858;2.5012;2.84;2.3224;9.47;8
8.0;0.362;0.91;5.5;0.994432792554;52.00;0.9071;4.1441;0.68;3.1369;9.04;2
11.4;0.424;0.53;5.6;0.870023468609;139.57;0.7559;3.9325;1.74;8.6777;8.86;11
10.3;0.101;0.65;3.6;0.570554076621;30.82;0.5817;2.8692;2.58;3.7483;11.91;12
14.5;0.917;0.61;9.8;0.776072339635;152.58;0.3009;2.2479;4.33;5.0670;8.59;6
9.3;0.003;0.79;8.7;0.758478619762;88.41;0.8681;2.3664;2.70;5.4985;10.62;5
5.7;0.351;0.21;7.8;0.589690492991;142.33;0.7354;2.7945;4.97;9.5732;9.80;7
11.3;0.180;0.08;2.9;0.760183083042;124.04;0.4680;2.7564;1.53;1.7345;8.53;10
7.9;0.978;0.28;8.7;0.278055054188;166.41;0.2770;3.7122;1.50;5.7625;8.88;9
15.0;0.166;0.87;2.4;0.387555670433;117.89;0.8645;2.5233;4.56;6.1950;10.04;1
11.9;0.635;0.19;6.7;0.637684487014;16.25;0.2258;4.9555;2.67;1.2499;11.50;5
5.8;0.329;0.42;4.6;0.127929706686;77.60;0.5579;2.5241;2.41;8.5689;10.49;5
6.2;0.259;0.26;1.9;0.645081161997;92.76;0.9211;4.8889;1.74;4.4583;10.00;3
13.2;0.274;0.52;3.7;0.401459653040;54.79;0.2132;2.4432;1.76;9.9758;9.61;6
9.2;0.890;0.13;2.4;0.524979895072;159.17;0.8502;2.1512;3.80;6.0513;9.78;4
9.1;0.680;0.88;6.3;0.714857072588;48.86;0.6951;4.0219;3.06;1.5358;11.37;8
15.9;0.412;0.59;7.8;0.297909510445;194.56;0.6479;4.9240;3.77;1.8263;10.10;10
6.7;0.795;0.65;9.5;0.667963682205;29.11;0.1738;3.4850;2.60;8.7525;10.89;3
10.0;0.200;0.28;1.6;0.806726644121;87.10;0.9217;3.3739;2.75;1.9436;10.18;9
15.8;0.340;0.94;3.3;0.270064349380;5.59;0.9640;3.0057;1.98;2.7540;8.55;5
13.7;0.948;0.03;5.7;0.232899154960;65.55;0.5184;4.1010;2.47;5.4793;11.95;6
8.3;0.733;0.84;7.5;0.910938683237;81.49;0.3801;4.6902;0.96;2.7659;8.54;5
14.6;0.372;0.17;4.8;0.540163492303;157.69;0.4124;2.6911;0.27;4.6477;9.36;10
5.2;0.323;0.86;3.3;0.712576887151;162.05;0.3963;2.4593;0.43;4.7715;9.53;12
5.2;0.480;0.06;4.9;0.916342799612;163.72;0.3246;4.9563;3.64;7.3075;10.07;3
12.5;0.345;0.27;7.3;0.864122649639;188.28;0.8671;3.0913;1.52;9.4547;8.86;5
7.9;0.146;0.97;3.1;0.643785879651;122.92;0.8468;3.3559;0.37;7.0470;8.41;2
10.4;0.552;0.93;9.7;0.092797524543;42.82;0.7109;4.3040;4.49;3.5231;8.58;8
8.2;0.447;0.85;7.3;0.045139477308;99.14;0.5766;2.2976;2.61;4.6810;9.75;6
10.5;0.819;0.51;4.1;0.495869594180;87.54;0.8577;3.5729;4.54;2.7096;9.52;11
15.3;0.117;0.94;2.6;0.189454547064;170.04;0.6495;2.1773;3.81;8.5215;10.11;1
11.7;0.668;0.53;2.5;0.027120072314;11.50;0.6595;2.8450;1.65;9.3816;10.88;2
13.6;0.807;0.29;9.4;0.950778525200;123.07;0.2166;4.1500;4.74;2.3185;8.78;9
6.5;0.375;0.69;1.7;0.910073612342;15.67;0.7402;4.9010;1.26;1.7864;10.46;11
12.7;0.398;0.51;6.6;0.824791186387;182.30;0.7633;2.5338;2.32;1.0286;8.26;8
5.3;0.533;0.58;5.9;0.446177175950;86.18;0.1486;3.1134;0.84;7.2389;11.77;3
9.2;0.814;0.17;1.0;0.737255524811;172.08;0.4747;2.0805;3.78;8.6545;11.73;11
12.7;0.288;0.47;9.0;0.982264206504;16.53;0.7531;2.4240;4.29;9.3122;11.40;10
7.6;0.454;0.67;8.7;0.573808061247;153.53;0.5443;2.0652;4.97;7.4030;9.90;9
15.7;0.013;0.78;9.3;0.956642729080;199.91;0.1639;2.0655;1.59;1.5817;9.84;5
6.5;0.992;0.34;6.1;0.418110571564;142.26;0.2237;2.9280;2.05;2.5420;8.74;7
5.7;0.960;0.86;9.6;0.035173910050;126.79;0.5609;3.5966;1.56;5.4984;8.97;4
5.9;0.113;0.11;1.8;0.249894880271;64.07;0.0581;2.7127;1.50;1.9163;11.15;7
12.9;0.382;0.42;7.5;0.925384544718;74.01;0.3063;3.6083;0.04;4.0681;8.80;9
13.8;0.818;0.05;8.0;0.577889244292;36.80;0.4668;4.5075;4.24;5.0161;11.53;10
6.4;0.286;0.56;6.8;0.307066965359;65.43;0.4832;2.1692;1.23;8.3555;8.98;3
7.9;0.570;0.14;3.9;0.778253521401;80.82;0.1534;3.2934;0.89;8.8947;10.11;3
7.2;0.928;0.24;3.7;0.085528183007;193.54;0.2624;4.2574;3.01;7.9335;11.86;6
15.9;0.224;0.48;6.1;0.211245402264;43.85;0.4528;4.5796;0.34;7.5913;9.41;10
8.6;0.226;0.91;6.6;0.155462135105;41.31;0.3526;4.1292;4.93;8.2784;9.44;11
7.4;0.843;0.42;10.0;0.782478255920;96.70;0.7542;4.3672;2.73;1.1561;10.53;6
15.0;0.434;0.72;2.9;0.553408628958;81.50;0.6583;2.4963;4.81;7.6707;9.11;4
7.9;0.387;0.45;3.6;0.632174921545;131.57;0.7183;4.5116;1.49;1.4975;8.09;10
12.9;0.637;0.12;5.4;0.732706409144;81.83;0.6774;2.5186;0.77;2.0428;11.72;2
6.9;0.190;0.38;2.7;0.217673707661;95.65;0.2291;3.1182;2.82;6.5704;11.46;3
8.4;0.700;0.56;8.4;0.504346713256;72.63;0.8105;4.2555;3.16;2.9718;10.77;8
13.7;0.670;0.61;3.0;0.075856055348;185.54;0.0952;4.7900;2.36;5.8115;10.83;5
7.5;0.452;0.93;8.7;0.637013502548;86.95;0.1800;4.5012;4.17;1.1763;9.18;3
7.0;0.235;0.00;9.7;0.088228813806;131.95;0.5746;4.1147;2.53;8.1370;10.46;10
10.4;0.374;0.80;1.3;0.134732473978;87.14;0.4605;4.5269;1.87;9.7582;9.26;6
16.0;0.862;0.27;2.9;0.610431184310;196.24;0.7591;2.0025;3.89;1.2442;8.84;4
15.0;0.462;0.21;9.3;0.248589146265;185.97;0.9878;3.5775;2.90;1.7258;8.05;5
11.2;0.726;0.72;5.8;0.157971154460;44.00;0.5994;2.7904;0.24;8.0987;10.75;11
8.3;0.088;0.49;9.2;0.698569554428;52.27;0.5713;4.6604;1.17;1.3302;10.61;11
10.7;0.395;0.97;8.0;0.679383584468;20.25;0.2155;3.3365;3.96;4.9759;11.31;10
14.4;0.383;0.16;7.5;0.619792573937;138.19;0.4389;2.6784;1.52;5.5968;10.47;2
7.1;0.588;0.67;3.6;0.759062068169;162.40;0.8865;2.6684;0.24;9.8177;11.01;2
5.3;0.840;0.35;2.3;0.239484342805;6.59;0.8811;3.5184;3.55;5.5234;8.07;3
5.1;0.266;0.36;2.2;0.553162570343;39.51;0.2828;2.0904;2.77;8.0178;9.20;6
13.5;0.154;0.33;4.0;0.509007754522;101.30;0.0860;2.1866;3.98;4.8881;8.51;10
9.4;0.307;0.86;8.7;0.212869311945;99.30;0.6624;3.8656;3.11;4.4075;11.33;3
15.1;0.915;0.68;2.4;0.112108181979;91.82;0.9716;4.7237;1.65;7.4514;11.54;4
5.3;0.277;0.43;2.8;0.543472747736;165.97;0.3177;2.9098;3.17;5.4032;8.22;5
13.0;0.697;0.13;3.2;0.480995225904;164.60;0.2303;4.6556;3.29;7.6768;10.13;6
